0,1,2,3,4,5,6,7,8,9,10
oil,coffee,,,,,,,,,
other vegetables,meat spreads,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
rolls/buns,yogurt,chicken,whole milk,,,,,,,
detergent,ham,whole milk,pip fruit,,,,,,,
frozen meals,other vegetables,bottled beer,,,,,,,,
coffee,whole milk,domestic eggs,,,,,,,,
rolls/buns,root vegetables,rolls/buns,long life bakery product,,,,,,,
curd,butter,,,,,,,,,
frankfurter,white wine,,,,,,,,,
frozen dessert,pastry,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
yogurt,jam,,,,,,,,,
tropical fruit,root vegetables,pip fruit,butter milk,waffles,bottled beer,,,,,
sausage,frozen dessert,,,,,,,,,
whole milk,pastry,specialty cheese,,,,,,,,
grapes,bottled beer,,,,,,,,,
hard cheese,waffles,,,,,,,,,
canned beer,candy,,,,,,,,,
whipped/sour cream,other vegetables,flour,,,,,,,,
pork,tropical fruit,,,,,,,,,
beef,sugar,root vegetables,frozen vegetables,,,,,,,
sausage,pip fruit,dish cleaner,,,,,,,,
pip fruit,flour,other vegetables,,,,,,,,
specialty bar,margarine,,,,,,,,,
white wine,beverages,,,,,,,,,
cream cheese ,yogurt,whipped/sour cream,,,,,,,,
other vegetables,roll products ,,,,,,,,,
frozen potato products,root vegetables,,,,,,,,,
yogurt,bottled water,long life bakery product,,,,,,,,
other vegetables,roll products ,,,,,,,,,
soda,oil,,,,,,,,,
pastry,long life bakery product,sliced cheese,yogurt,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
frankfurter,sugar,,,,,,,,,
soda,dog food,,,,,,,,,
ham,Instant food products,,,,,,,,,
pastry,soda,,,,,,,,,
zwieback,brown bread,,,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
ham,pastry,whole milk,specialty bar,tropical fruit,hard cheese,yogurt,candy,,,
beverages,jam,,,,,,,,,
meat,canned beer,,,,,,,,,
turkey,seasonal products,,,,,,,,,
frozen vegetables,salty snack,other vegetables,curd,hygiene articles,,,,,,
citrus fruit,beef,,,,,,,,,
pot plants,chicken,,,,,,,,,
napkins,popcorn,,,,,,,,,
meat,fruit/vegetable juice,,,,,,,,,
sausage,citrus fruit,,,,,,,,,
root vegetables,butter,,,,,,,,,
ice cream,other vegetables,,,,,,,,,
sausage,dessert,,,,,,,,,
frozen fish,whole milk,,,,,,,,,
house keeping products,rolls/buns,mayonnaise,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
whole milk,root vegetables,curd,yogurt,,,,,,,
bottled beer,tropical fruit,bottled water,,,,,,,,
brown bread,root vegetables,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
liquor,bathroom cleaner,,,,,,,,,
cream cheese ,yogurt,,,,,,,,,
whole milk,white wine,,,,,,,,,
whipped/sour cream,salad dressing,,,,,,,,,
beef,yogurt,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
sausage,chicken,,,,,,,,,
other vegetables,other vegetables,newspapers,pip fruit,,,,,,,
canned beer,curd,,,,,,,,,
sparkling wine,specialty bar,,,,,,,,,
bottled water,dessert,,,,,,,,,
soda,canned beer,citrus fruit,frozen meals,,,,,,,
meat,coffee,,,,,,,,,
chicken,other vegetables,bathroom cleaner,chicken,grapes,fruit/vegetable juice,fruit/vegetable juice,soda,,,
meat,processed cheese,root vegetables,cat food,,,,,,,
chicken,tropical fruit,salt,,,,,,,,
berries,pip fruit,,,,,,,,,
whole milk,curd,bottled beer,,,,,,,,
whole milk,Instant food products,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
soda,curd,flower (seeds),,,,,,,,
hard cheese,whole milk,,,,,,,,,
other vegetables,bottled water,hard cheese,,,,,,,,
rolls/buns,whole milk,shopping bags,,,,,,,,
shopping bags,soap,,,,,,,,,
UHT-milk,soda,whole milk,whole milk,,,,,,,
frozen vegetables,rolls/buns,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
soda,butter,,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
meat,cling film/bags,whipped/sour cream,,,,,,,,
flower (seeds),margarine,,,,,,,,,
pork,honey,newspapers,,,,,,,,
fruit/vegetable juice,ketchup,,,,,,,,,
soda,pastry,frozen vegetables,UHT-milk,,,,,,,
canned beer,tropical fruit,,,,,,,,,
whole milk,coffee,,,,,,,,,
citrus fruit,yogurt,coffee,,,,,,,,
whole milk,whole milk,,,,,,,,,
grapes,shopping bags,artif. sweetener,,,,,,,,
whole milk,bottled water,whipped/sour cream,,,,,,,,
whole milk,butter milk,,,,,,,,,
spices,cookware,,,,,,,,,
ice cream,fruit/vegetable juice,cereals,,,,,,,,
canned beer,sausage,other vegetables,rolls/buns,,,,,,,
frozen dessert,soda,,,,,,,,,
tropical fruit,snack products,,,,,,,,,
packaged fruit/vegetables,dog food,,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
whipped/sour cream,pot plants,,,,,,,,,
soda,beverages,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
curd,grapes,curd,shopping bags,,,,,,,
sausage,soda,,,,,,,,,
chicken,yogurt,rolls/buns,,,,,,,,
canned beer,onions,,,,,,,,,
sugar,fruit/vegetable juice,margarine,,,,,,,,
pork,bottled beer,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
UHT-milk,yogurt,,,,,,,,,
tropical fruit,soups,,,,,,,,,
soft cheese,hard cheese,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
yogurt,pastry,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
curd,cream cheese ,domestic eggs,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
herbs,rum,,,,,,,,,
rolls/buns,sausage,whole milk,pastry,yogurt,dessert,curd,yogurt,,,
fruit/vegetable juice,domestic eggs,,,,,,,,,
cream cheese ,root vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
pork,onions,,,,,,,,,
sausage,napkins,,,,,,,,,
berries,soda,bottled beer,,,,,,,,
pastry,brandy,soda,,,,,,,,
sausage,curd,salty snack,,,,,,,,
chicken,curd,,,,,,,,,
specialty chocolate,white wine,nuts/prunes,cream cheese ,cake bar,yogurt,frozen vegetables,,,,
liquor,tropical fruit,other vegetables,,,,,,,,
pastry,curd,bottled beer,,,,,,,,
whole milk,berries,,,,,,,,,
yogurt,frozen meals,frozen vegetables,,,,,,,,
pork,cake bar,,,,,,,,,
frozen potato products,female sanitary products,whole milk,other vegetables,fruit/vegetable juice,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
pet care,other vegetables,,,,,,,,,
soda,curd,,,,,,,,,
ham,root vegetables,rolls/buns,processed cheese,whole milk,pastry,soups,,,,
beef,specialty chocolate,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
other vegetables,ready soups,baking powder,,,,,,,,
canned beer,margarine,pastry,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
sausage,prosecco,pot plants,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
sausage,tropical fruit,margarine,,,,,,,,
bottled water,soups,newspapers,root vegetables,shopping bags,,,,,,
spread cheese,yogurt,soda,shopping bags,,,,,,,
whole milk,butter milk,,,,,,,,,
grapes,whipped/sour cream,dishes,,,,,,,,
citrus fruit,white bread,,,,,,,,,
tropical fruit,bottled water,dishes,,,,,,,,
root vegetables,frankfurter,other vegetables,mayonnaise,,,,,,,
pork,other vegetables,yogurt,white bread,,,,,,,
ketchup,potato products,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
whole milk,candles,,,,,,,,,
chicken,tropical fruit,rolls/buns,liquor,,,,,,,
margarine,misc. beverages,,,,,,,,,
whipped/sour cream,ice cream,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
pastry,whole milk,,,,,,,,,
yogurt,pasta,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
beverages,sliced cheese,semi-finished bread,,,,,,,,
frankfurter,coffee,,,,,,,,,
hamburger meat,bottled beer,domestic eggs,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
meat,pastry,,,,,,,,,
roll products ,margarine,,,,,,,,,
chewing gum,domestic eggs,packaged fruit/vegetables,,,,,,,,
frankfurter,bottled water,,,,,,,,,
white bread,specialty bar,newspapers,,,,,,,,
citrus fruit,pastry,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
white bread,soda,,,,,,,,,
berries,pastry,soda,,,,,,,,
pip fruit,tropical fruit,,,,,,,,,
dessert,beverages,frozen meals,red/blush wine,,,,,,,
domestic eggs,yogurt,,,,,,,,,
soda,yogurt,,,,,,,,,
misc. beverages,rolls/buns,,,,,,,,,
other vegetables,semi-finished bread,domestic eggs,newspapers,,,,,,,
soups,specialty bar,soda,whipped/sour cream,,,,,,,
soda,yogurt,white bread,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
frozen vegetables,bottled water,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
soda,candy,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
pork,whole milk,,,,,,,,,
pork,pip fruit,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
chewing gum,frozen vegetables,,,,,,,,,
liquor,rolls/buns,frozen meals,,,,,,,,
ham,rolls/buns,,,,,,,,,
root vegetables,yogurt,whole milk,,,,,,,,
soda,pastry,,,,,,,,,
whole milk,dessert,,,,,,,,,
flower (seeds),whipped/sour cream,specialty chocolate,bottled water,,,,,,,
soda,misc. beverages,,,,,,,,,
long life bakery product,salty snack,,,,,,,,,
misc. beverages,artif. sweetener,newspapers,fruit/vegetable juice,,,,,,,
bottled beer,tropical fruit,yogurt,berries,,,,,,,
pot plants,yogurt,other vegetables,,,,,,,,
shopping bags,condensed milk,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
ice cream,pork,,,,,,,,,
sausage,whole milk,,,,,,,,,
root vegetables,female sanitary products,,,,,,,,,
pip fruit,UHT-milk,,,,,,,,,
other vegetables,canned fish,,,,,,,,,
onions,pip fruit,,,,,,,,,
pip fruit,other vegetables,hard cheese,sausage,rolls/buns,pip fruit,grapes,other vegetables,,,
fish,canned beer,chocolate,,,,,,,,
whole milk,brown bread,,,,,,,,,
processed cheese,whole milk,rolls/buns,margarine,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
brown bread,yogurt,,,,,,,,,
whole milk,bottled water,,,,,,,,,
pork,whole milk,,,,,,,,,
pork,specialty chocolate,,,,,,,,,
chicken,whole milk,newspapers,,,,,,,,
chicken,rolls/buns,,,,,,,,,
citrus fruit,shopping bags,cream cheese ,,,,,,,,
bottled beer,chicken,baking powder,curd,,,,,,,
margarine,sausage,sausage,pork,citrus fruit,yogurt,frozen meals,other vegetables,,,
other vegetables,specialty bar,long life bakery product,,,,,,,,
chocolate,yogurt,other vegetables,,,,,,,,
whole milk,soda,hygiene articles,canned beer,,,,,,,
beverages,coffee,,,,,,,,,
liquor (appetizer),cat food,,,,,,,,,
rolls/buns,other vegetables,yogurt,frozen vegetables,,,,,,,
berries,candy,,,,,,,,,
onions,frozen vegetables,,,,,,,,,
whole milk,candy,,,,,,,,,
tropical fruit,whole milk,shopping bags,,,,,,,,
curd cheese,whole milk,long life bakery product,hard cheese,,,,,,,
liver loaf,chicken,whole milk,canned beer,fruit/vegetable juice,frozen dessert,light bulbs,condensed milk,,,
root vegetables,processed cheese,,,,,,,,,
shopping bags,white wine,soda,,,,,,,,
frankfurter,fruit/vegetable juice,,,,,,,,,
frozen vegetables,root vegetables,,,,,,,,,
whole milk,hair spray,waffles,,,,,,,,
sausage,root vegetables,,,,,,,,,
beef,sugar,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pork,coffee,,,,,,,,,
frozen meals,rolls/buns,butter,fruit/vegetable juice,,,,,,,
whole milk,sausage,root vegetables,long life bakery product,frozen vegetables,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
meat,pot plants,canned vegetables,,,,,,,,
bottled water,other vegetables,,,,,,,,,
frozen meals,frozen potato products,,,,,,,,,
long life bakery product,waffles,,,,,,,,,
frankfurter,brown bread,whole milk,root vegetables,,,,,,,
hard cheese,rolls/buns,white wine,,,,,,,,
other vegetables,newspapers,waffles,,,,,,,,
berries,whipped/sour cream,other vegetables,other vegetables,newspapers,,,,,,
whole milk,specialty bar,,,,,,,,,
frankfurter,berries,tropical fruit,rolls/buns,,,,,,,
hamburger meat,margarine,,,,,,,,,
sausage,finished products,whole milk,yogurt,pastry,sliced cheese,onions,chewing gum,,,
whole milk,fruit/vegetable juice,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
root vegetables,misc. beverages,,,,,,,,,
turkey,photo/film,mayonnaise,,,,,,,,
bottled beer,canned fish,fruit/vegetable juice,,,,,,,,
sausage,other vegetables,,,,,,,,,
pip fruit,citrus fruit,curd,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
brown bread,male cosmetics,,,,,,,,,
soda,butter,,,,,,,,,
oil,frozen potato products,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
whole milk,beverages,frozen fruits,fruit/vegetable juice,,,,,,,
pet care,frozen vegetables,spices,,,,,,,,
long life bakery product,yogurt,,,,,,,,,
frankfurter,beverages,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
spread cheese,rolls/buns,,,,,,,,,
tropical fruit,coffee,dessert,fruit/vegetable juice,,,,,,,
tropical fruit,whole milk,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
sausage,chocolate,newspapers,,,,,,,,
misc. beverages,pet care,,,,,,,,,
Instant food products,coffee,,,,,,,,,
red/blush wine,domestic eggs,,,,,,,,,
dessert,yogurt,,,,,,,,,
oil,chewing gum,,,,,,,,,
soda,bottled water,,,,,,,,,
canned beer,napkins,,,,,,,,,
hygiene articles,hygiene articles,pastry,,,,,,,,
syrup,newspapers,processed cheese,rolls/buns,,,,,,,
soda,rolls/buns,,,,,,,,,
napkins,pastry,,,,,,,,,
soda,liver loaf,,,,,,,,,
rolls/buns,root vegetables,specialty chocolate,,,,,,,,
root vegetables,packaged fruit/vegetables,,,,,,,,,
soda,coffee,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
beef,pork,margarine,fruit/vegetable juice,margarine,,,,,,
tropical fruit,root vegetables,,,,,,,,,
bottled water,shopping bags,shopping bags,,,,,,,,
whole milk,hard cheese,,,,,,,,,
baking powder,liqueur,,,,,,,,,
chocolate,root vegetables,,,,,,,,,
soda,roll products ,seasonal products,,,,,,,,
soda,beef,other vegetables,semi-finished bread,shopping bags,white wine,,,,,
citrus fruit,tropical fruit,soda,coffee,domestic eggs,,,,,,
frankfurter,soda,,,,,,,,,
dishes,shopping bags,,,,,,,,,
turkey,white bread,,,,,,,,,
ham,waffles,seasonal products,,,,,,,,
yogurt,pastry,kitchen towels,,,,,,,,
chicken,pastry,whole milk,pip fruit,soda,margarine,candy,,,,
pastry,yogurt,,,,,,,,,
dessert,dog food,newspapers,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
brown bread,candy,chocolate,,,,,,,,
whole milk,spread cheese,,,,,,,,,
misc. beverages,bottled beer,,,,,,,,,
other vegetables,soda,whole milk,sweet spreads,,,,,,,
root vegetables,root vegetables,citrus fruit,cat food,,,,,,,
frankfurter,curd,coffee,,,,,,,,
frankfurter,whole milk,rolls/buns,,,,,,,,
sausage,berries,pasta,,,,,,,,
pork,rolls/buns,,,,,,,,,
sausage,pastry,shopping bags,,,,,,,,
margarine,newspapers,,,,,,,,,
bottled water,yogurt,,,,,,,,,
pot plants,dish cleaner,,,,,,,,,
hamburger meat,cleaner,,,,,,,,,
beef,bottled beer,,,,,,,,,
pasta,hamburger meat,dessert,bottled water,,,,,,,
bottled beer,frozen dessert,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
butter milk,canned beer,yogurt,semi-finished bread,margarine,,,,,,
tropical fruit,hamburger meat,tea,,,,,,,,
hamburger meat,rolls/buns,brown bread,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
yogurt,sausage,domestic eggs,other vegetables,nut snack,shopping bags,,,,,
pip fruit,brown bread,,,,,,,,,
bottled water,whole milk,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
other vegetables,soda,,,,,,,,,
rolls/buns,napkins,,,,,,,,,
whole milk,waffles,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
root vegetables,soda,,,,,,,,,
sausage,pickled vegetables,,,,,,,,,
tropical fruit,artif. sweetener,,,,,,,,,
canned beer,tropical fruit,kitchen towels,,,,,,,,
other vegetables,waffles,,,,,,,,,
other vegetables,shopping bags,packaged fruit/vegetables,,,,,,,,
bottled water,bottled water,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
cat food,ham,whipped/sour cream,canned beer,,,,,,,
whole milk,berries,yogurt,,,,,,,,
chicken,pastry,,,,,,,,,
sausage,chocolate,semi-finished bread,whole milk,rum,bottled beer,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
chicken,sausage,domestic eggs,pasta,,,,,,,
chocolate marshmallow,specialty chocolate,,,,,,,,,
frozen potato products,detergent,,,,,,,,,
root vegetables,UHT-milk,,,,,,,,,
soda,margarine,,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
whole milk,chocolate,,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
sausage,whole milk,dessert,UHT-milk,,,,,,,
meat,fruit/vegetable juice,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
frankfurter,fruit/vegetable juice,shopping bags,,,,,,,,
whole milk,other vegetables,,,,,,,,,
white bread,whipped/sour cream,,,,,,,,,
brown bread,rolls/buns,cat food,pastry,,,,,,,
frankfurter,bottled beer,pastry,,,,,,,,
pip fruit,onions,,,,,,,,,
brown bread,whole milk,,,,,,,,,
yogurt,berries,onions,pip fruit,,,,,,,
pip fruit,white wine,,,,,,,,,
whole milk,salty snack,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
chewing gum,sugar,,,,,,,,,
soda,flour,,,,,,,,,
frozen meals,sausage,pastry,yogurt,,,,,,,
ham,liquor (appetizer),,,,,,,,,
frankfurter,pastry,,,,,,,,,
beverages,waffles,,,,,,,,,
coffee,yogurt,,,,,,,,,
root vegetables,soda,,,,,,,,,
yogurt,yogurt,,,,,,,,,
yogurt,canned beer,,,,,,,,,
root vegetables,butter,,,,,,,,,
soda,chewing gum,,,,,,,,,
chicken,grapes,,,,,,,,,
UHT-milk,cling film/bags,,,,,,,,,
canned beer,rolls/buns,rolls/buns,,,,,,,,
margarine,rolls/buns,,,,,,,,,
citrus fruit,soda,,,,,,,,,
other vegetables,candy,,,,,,,,,
liver loaf,newspapers,white wine,,,,,,,,
margarine,bottled water,,,,,,,,,
rolls/buns,chicken,whipped/sour cream,canned beer,baking powder,,,,,,
sausage,UHT-milk,,,,,,,,,
sausage,whole milk,root vegetables,soft cheese,,,,,,,
tropical fruit,finished products,whole milk,fruit/vegetable juice,rolls/buns,,,,,,
chocolate,whipped/sour cream,,,,,,,,,
berries,rolls/buns,,,,,,,,,
cream cheese ,dessert,,,,,,,,,
rolls/buns,soda,,,,,,,,,
yogurt,liqueur,,,,,,,,,
curd cheese,chocolate marshmallow,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
rolls/buns,instant coffee,,,,,,,,,
sausage,yogurt,,,,,,,,,
citrus fruit,sweet spreads,,,,,,,,,
pork,cream cheese ,,,,,,,,,
beef,fruit/vegetable juice,,,,,,,,,
soda,pastry,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
root vegetables,herbs,cream cheese ,,,,,,,,
canned beer,whole milk,,,,,,,,,
whole milk,soda,,,,,,,,,
sausage,bottled beer,,,,,,,,,
beverages,candles,,,,,,,,,
berries,red/blush wine,,,,,,,,,
rolls/buns,soda,soda,flower (seeds),,,,,,,
citrus fruit,rolls/buns,salt,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
butter,fruit/vegetable juice,soda,,,,,,,,
bottled water,yogurt,butter,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
soda,whole milk,,,,,,,,,
ready soups,pastry,,,,,,,,,
rolls/buns,detergent,shopping bags,,,,,,,,
curd,spices,frozen fish,,,,,,,,
sausage,sausage,rolls/buns,sweet spreads,instant coffee,fruit/vegetable juice,long life bakery product,shopping bags,,,
mustard,root vegetables,,,,,,,,,
sliced cheese,brown bread,roll products ,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
whole milk,whole milk,pastry,,,,,,,,
sausage,canned vegetables,,,,,,,,,
dish cleaner,whole milk,canned fish,,,,,,,,
long life bakery product,brown bread,,,,,,,,,
canned fish,curd,,,,,,,,,
curd,nuts/prunes,root vegetables,sausage,whole milk,rolls/buns,root vegetables,bottled water,hard cheese,,
bottled beer,whole milk,,,,,,,,,
rolls/buns,grapes,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
root vegetables,other vegetables,white wine,,,,,,,,
cream cheese ,sugar,,,,,,,,,
chicken,whole milk,,,,,,,,,
canned beer,liquor,,,,,,,,,
cream,frankfurter,soda,UHT-milk,,,,,,,
bags,other vegetables,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
liver loaf,rolls/buns,,,,,,,,,
beef,tropical fruit,,,,,,,,,
butter,sugar,,,,,,,,,
hygiene articles,root vegetables,soda,pastry,,,,,,,
beef,white wine,UHT-milk,butter milk,,,,,,,
coffee,bottled water,liqueur,,,,,,,,
white bread,mayonnaise,,,,,,,,,
brown bread,beef,bottled beer,specialty fat,,,,,,,
frankfurter,yogurt,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
pip fruit,pastry,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
sausage,bottled beer,root vegetables,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
whole milk,whole milk,ham,pip fruit,hard cheese,frozen fish,shopping bags,pot plants,,,
frozen meals,UHT-milk,,,,,,,,,
tropical fruit,pork,UHT-milk,hamburger meat,,,,,,,
whole milk,bottled beer,,,,,,,,,
butter,rolls/buns,,,,,,,,,
dishes,bottled water,,,,,,,,,
whole milk,seasonal products,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
sausage,curd,margarine,,,,,,,,
berries,dishes,,,,,,,,,
coffee,soft cheese,,,,,,,,,
bottled water,whole milk,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
beef,pastry,yogurt,chewing gum,,,,,,,
sliced cheese,yogurt,,,,,,,,,
nuts/prunes,soda,,,,,,,,,
butter,sauces,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
soda,tropical fruit,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
candy,specialty cheese,,,,,,,,,
bottled beer,canned fish,yogurt,,,,,,,,
ham,spread cheese,,,,,,,,,
chocolate marshmallow,salt,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
whole milk,margarine,,,,,,,,,
red/blush wine,butter,soda,,,,,,,,
pastry,other vegetables,,,,,,,,,
bottled water,brown bread,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
tropical fruit,bottled water,whipped/sour cream,,,,,,,,
citrus fruit,specialty fat,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
canned beer,dishes,,,,,,,,,
ham,canned beer,soups,,,,,,,,
vinegar,whole milk,bottled beer,,,,,,,,
frankfurter,red/blush wine,rolls/buns,,,,,,,,
whole milk,shopping bags,,,,,,,,,
root vegetables,sweet spreads,,,,,,,,,
meat,hamburger meat,,,,,,,,,
citrus fruit,whipped/sour cream,liquor,,,,,,,,
oil,soda,sliced cheese,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
sugar,specialty bar,,,,,,,,,
tropical fruit,newspapers,bottled water,,,,,,,,
frankfurter,ham,white wine,detergent,popcorn,,,,,,
sausage,whole milk,cake bar,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
whole milk,detergent,,,,,,,,,
margarine,specialty bar,,,,,,,,,
chicken,whole milk,,,,,,,,,
bottled water,newspapers,,,,,,,,,
meat,whole milk,brown bread,shopping bags,waffles,,,,,,
domestic eggs,pastry,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
coffee,coffee,,,,,,,,,
instant coffee,soda,frozen meals,artif. sweetener,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
whole milk,bottled water,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
curd,citrus fruit,rolls/buns,other vegetables,dessert,,,,,,
soda,waffles,,,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
ham,whipped/sour cream,soda,light bulbs,,,,,,,
yogurt,bottled beer,,,,,,,,,
light bulbs,frozen vegetables,liquor,citrus fruit,butter,chewing gum,cream cheese ,rolls/buns,,,
rolls/buns,yogurt,shopping bags,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
root vegetables,grapes,whole milk,,,,,,,,
whole milk,other vegetables,,,,,,,,,
other vegetables,soda,frozen potato products,,,,,,,,
frozen meals,canned beer,,,,,,,,,
coffee,napkins,,,,,,,,,
ketchup,specialty chocolate,,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
yogurt,chocolate,,,,,,,,,
newspapers,napkins,,,,,,,,,
pip fruit,rolls/buns,yogurt,,,,,,,,
canned beer,detergent,cake bar,,,,,,,,
sausage,other vegetables,,,,,,,,,
ham,canned beer,salty snack,,,,,,,,
rolls/buns,male cosmetics,,,,,,,,,
rolls/buns,curd cheese,,,,,,,,,
yogurt,pastry,bottled water,,,,,,,,
dessert,dental care,,,,,,,,,
curd,soda,,,,,,,,,
sausage,beef,,,,,,,,,
yogurt,ice cream,,,,,,,,,
tropical fruit,rolls/buns,zwieback,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
root vegetables,Instant food products,,,,,,,,,
specialty chocolate,root vegetables,popcorn,soups,,,,,,,
whole milk,white bread,,,,,,,,,
packaged fruit/vegetables,specialty cheese,margarine,margarine,,,,,,,
whole milk,chewing gum,,,,,,,,,
butter,chewing gum,,,,,,,,,
sausage,chicken,,,,,,,,,
canned beer,turkey,,,,,,,,,
whole milk,rolls/buns,hygiene articles,,,,,,,,
grapes,root vegetables,,,,,,,,,
citrus fruit,soda,berries,coffee,sugar,,,,,,
frankfurter,whole milk,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
turkey,rolls/buns,,,,,,,,,
yogurt,butter,,,,,,,,,
cream cheese ,frankfurter,root vegetables,yogurt,,,,,,,
root vegetables,sweet spreads,,,,,,,,,
citrus fruit,soda,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
frankfurter,dishes,,,,,,,,,
meat,beef,yogurt,yogurt,,,,,,,
white wine,tropical fruit,,,,,,,,,
tropical fruit,pastry,rolls/buns,,,,,,,,
ice cream,specialty chocolate,semi-finished bread,,,,,,,,
hamburger meat,soda,,,,,,,,,
whole milk,baking powder,,,,,,,,,
cream cheese ,soft cheese,,,,,,,,,
house keeping products,butter milk,,,,,,,,,
pastry,shopping bags,,,,,,,,,
canned beer,yogurt,,,,,,,,,
hamburger meat,frozen potato products,,,,,,,,,
fish,fruit/vegetable juice,,,,,,,,,
soda,bottled beer,,,,,,,,,
frankfurter,frozen meals,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
beef,root vegetables,butter milk,,,,,,,,
whole milk,whole milk,,,,,,,,,
